ID,HouseType,Size,Price,LotSize,Balcony,LivingSpace,NumberRooms,YearBuilt,Locality,PostalCode
4000798826,SINGLE_HOUSE,L,1749300.0,502.0,,240.0,11.5,1946.0,Luterbach,4542
4000798740,MULTIPLE_DWELLING,L,1392090.0,898.0,,,,1958.0,Erlenbach im Simmental,3762
4000797998,SINGLE_HOUSE,L,2307900.0,837.0,,350.0,7.0,2021.0,Les Paccots,1619
4000796448,ROW_HOUSE,L,2388750.0,172.0,,230.0,8.5,,Wiesendangen,8542
4000796447,ROW_HOUSE,L,2388750.0,,,,8.5,,Wiesendangen,8542
4000796432,SINGLE_HOUSE,L,0.0,606.0,,360.0,9.5,1960.0,Widnau,9443
4000796049,SINGLE_HOUSE,L,1837500.0,595.0,,220.0,9.5,1961.0,Herisau,9100
4000795707,BIFAMILIAR_HOUSE,L,1903650.0,367.0,,260.0,9.5,2023.0,Le Landeron,2525
4000792682,BIFAMILIAR_HOUSE,L,1323000.0,400.0,,270.0,8.5,1987.0,Port,2562
4000792678,SINGLE_HOUSE,L,2043300.0,925.0,,310.0,,1975.0,Gränichen,5722
4000788461,SINGLE_HOUSE,L,1793400.0,848.0,,180.0,7.5,1959.0,Brissago,6614
4000788211,SINGLE_HOUSE,L,1315650.0,1140.0,,470.0,11.0,1950.0,Le Bry,1645
4000788210,SINGLE_HOUSE,L,955500.0,96.0,,380.0,9.0,1935.0,Bouveret,1897
4000788208,SINGLE_HOUSE,L,1029000.0,530.0,,170.0,5.5,1953.0,Grenchen,2540
4000786472,SINGLE_HOUSE,L,2050650.0,890.0,,310.0,8.5,2018.0,Aproz (Nendaz),1994
4000782895,BIFAMILIAR_HOUSE,L,999600.0,624.0,,390.0,13.0,1902.0,Fleurier,2114
4000782894,SINGLE_HOUSE,L,1425900.0,795.0,,730.0,12.5,1988.0,Choëx,1871
4000782890,SINGLE_HOUSE,L,1764000.0,1431.0,,250.0,7.5,1970.0,Blonay,1807
4000782849,SINGLE_HOUSE,L,1749300.0,959.0,,220.0,9.5,2006.0,Sévaz,1541
4000782848,ROW_HOUSE,L,1506750.0,431.0,,290.0,9.5,1900.0,Lignerolle,1357
4000782370,SINGLE_HOUSE,L,1903650.0,465.0,,250.0,8.5,2023.0,Rietheim,5323
4000782088,CHALET,L,3087000.0,625.0,,330.0,8.5,2009.0,Chandolin,3961
4000781468,SINGLE_HOUSE,L,1528800.0,1021.0,,160.0,7.5,2023.0,Erlinsbach SO,5015
4000775436,MULTIPLE_DWELLING,L,0.0,1349.0,,380.0,15.5,1840.0,Aranno,6994
4000772575,SINGLE_HOUSE,L,1940400.0,330.0,,280.0,8.5,2001.0,Gordola,6596
4000771639,ROW_HOUSE,L,5292000.0,480.0,,160.0,7.5,1931.0,Zürich,8057
4000771486,SINGLE_HOUSE,L,1381800.0,733.0,,240.0,9.5,1973.0,Muhen,5037
4000771484,SINGLE_HOUSE,L,1587600.0,768.0,,220.0,9.0,1971.0,Gorgier,2023
4000771483,BIFAMILIAR_HOUSE,L,1719900.0,240.0,,220.0,7.5,2016.0,Yverdon-les-Bains,1400
4000769088,SINGLE_HOUSE,L,2638650.0,390.0,,230.0,9.0,1900.0,Bern,3013
4000767430,SINGLE_HOUSE,L,1609650.0,381.0,,330.0,13.0,1902.0,Neuchâtel,2000
4000767429,SINGLE_HOUSE,L,2043300.0,588.0,,330.0,8.5,2014.0,Marsens,1633
4000767428,SINGLE_HOUSE,L,1396500.0,,,390.0,,1957.0,Les Geneveys-sur-Coffrane,2206
4000767425,BIFAMILIAR_HOUSE,L,1837500.0,492.0,,240.0,9.5,2005.0,Matzingen,9548
4000762412,BIFAMILIAR_HOUSE,L,1543500.0,748.0,,280.0,7.5,2017.0,Sédeilles,1554
4000762331,SINGLE_HOUSE,L,1021650.0,323.0,,360.0,14.0,1880.0,Ollon VD,1867
4000762329,ROW_HOUSE,L,1102500.0,35.0,,250.0,8.5,1820.0,Provence,1428
4000755699,SINGLE_HOUSE,L,1749300.0,1636.0,,390.0,15.0,1954.0,Niederstocken,3632
4000755548,ROW_HOUSE,L,1631700.0,100.0,,180.0,7.5,2010.0,Perroy,1166
4000754928,VILLA,L,4336500.0,2208.0,,340.0,11.5,1930.0,Brione sopra Minusio,6645
4000754927,VILLA,L,2866500.0,1660.0,,340.0,11.5,1930.0,Brione sopra Minusio,6645
4000754706,VILLA,L,2322600.0,1298.0,,310.0,11.5,1990.0,Lodrino,6527
4000753590,VILLA,L,4851000.0,895.0,,800.0,17.0,1975.0,Brione sopra Minusio,6645
4000752711,SINGLE_HOUSE,L,0.0,538.0,,220.0,8.5,2008.0,Bettwiesen,9553
4000752710,SINGLE_HOUSE,L,1756650.0,1201.0,,190.0,8.5,1947.0,Steckborn,8266
4000752707,SINGLE_HOUSE,L,1837500.0,491.0,,240.0,8.5,1988.0,Basadingen,8254
